Ibge;UF;name;longitude;latitude;region
1100015;RO;Alta Floresta D'Oeste;-619.998.238.963;-119.355.403.048;Leste Rondoniense
1100023;RO;Ariquemes;-63.033.269.278;-99.084.628.666;Leste Rondoniense
1100031;RO;Cabixi;-605.443.135.812;-134.997.634.597;Leste Rondoniense
1100049;RO;Cacoal;-614.429.442.118;-114.338.650.287;Leste Rondoniense
1100056;RO;Cerejeiras;-608.184.261.647;-13.195.033.032;Leste Rondoniense
1100064;RO;Colorado do Oeste;-605.550.674.631;-131.305.638.415;Leste Rondoniense
1100072;RO;Corumbiara;-609.487.011.707;-129.975.202.365;Leste Rondoniense
1100080;RO;Costa Marques;-642.316.539.391;-124.360.138.777;Madeira-Guapor
1100098;RO;Espigao D'Oeste;-610.201.731.133;-115.285.546.333;Leste Rondoniense
1100106;RO;Guajara-Mirim;-653.239.518.197;-107.738.837.407;Madeira-Guapor
1100114;RO;Jaru;-624.762.307.081;-104.359.487.679;Leste Rondoniense
1100122;RO;Ji-Parana;-619.450.945.827;-108.820.513.183;Leste Rondoniense
1100130;RO;Machadinho D'Oeste;-619.995.925.724;-942.556.248;Leste Rondoniense
1100148;RO;Nova Brasilandia D'Oeste;-62.308.230.163;-117.213.254.139;Leste Rondoniense
1100155;RO;Ouro Preto do Oeste;-622.610.551.904;-107.235.739.008;Leste Rondoniense
1100189;RO;Pimenta Bueno;-611.836.656.736;-1.167.753.699;Leste Rondoniense
1100205;RO;Porto Velho;-638.314.456.544;-876.889.179;Madeira-Guapor
1100254;RO;Presidente Medici;-619.094.386.835;-111.732.050.162;Leste Rondoniense
1100262;RO;Rio Crespo;-62.900.010.366;-97.055.367.097;Leste Rondoniense
1100288;RO;Rolim de Moura;-617.857.809.352;-117.222.589.134;Leste Rondoniense
1100296;RO;Santa Luzia D'Oeste;-617.733.054.631;-119.084.233.325;Leste Rondoniense
1100304;RO;Vilhena;-601.385.838.661;-127.413.734.718;Leste Rondoniense
1100320;RO;Sao Miguel do Guapore;-627.200.634.814;-116.994.897.438;Leste Rondoniense
1100338;RO;Nova Mamore;-653.291.490.231;-104.117.712.947;Madeira-Guapor
1100346;RO;Alvorada D'Oeste;-622.772.748.657;-113.441.300.234;Leste Rondoniense
1100379;RO;Alto Alegre dos Parecis;-618.530.771.686;-121.317.772.246;Leste Rondoniense
1100403;RO;Alto Paraiso;-633.176.294.335;-97.166.667.381;Leste Rondoniense
1100452;RO;Buritis;-638.296.787.918;-102.098.054.072;Madeira-Guapor
1100502;RO;Novo Horizonte do Oeste;-619.943.876.628;-1.170.974.292;Leste Rondoniense
1100601;RO;Cacaulandia;-629.031.899.346;-103.388.728.394;Leste Rondoniense
1100700;RO;Campo Novo de Rondonia;-636.249.914.265;-105.684.164.693;Madeira-Guapor
1100809;RO;Candeias do Jamari;-637.000.200.718;-87.850.207.035;Madeira-Guapor
1100908;RO;Castanheiras;-619.491.611.965;-114.268.422.255;Leste Rondoniense
1100924;RO;Chupinguaia;-6.090.184.775;-125.568.407.611;Leste Rondoniense
1100940;RO;Cujubim;-625.871.745.319;-93.781.933.991;Madeira-Guapor
1101005;RO;Governador Jorge Teixeira;-627.404.576.395;-106.120.717.726;Leste Rondoniense
1101104;RO;Itapua do Oeste;-631.823.370.165;-91.918.716.753;Madeira-Guapor
1101203;RO;Ministro Andreazza;-615.189.219.301;-111.962.379.842;Leste Rondoniense
1101302;RO;Mirante da Serra;-626.694.270.953;-110.456.092.899;Leste Rondoniense
1101401;RO;Monte Negro;-632.955.591.672;-102.630.977.559;Leste Rondoniense
1101435;RO;Nova Uniao;-625.550.893.989;-109.155.320.417;Leste Rondoniense
1101450;RO;Parecis;-615.979.979.727;-121.798.270.507;Leste Rondoniense
1101468;RO;Pimenteiras do Oeste;-610.443.790.025;-134.765.620.025;Leste Rondoniense
1101476;RO;Primavera de Rondonia;-613.165.462.429;-118.257.069.542;Leste Rondoniense
1101484;RO;Sao Felipe D'Oeste;-615.125.081.133;-119.143.893.547;Leste Rondoniense
1101492;RO;Sao Francisco do Guapore;-635.708.647.108;-120.637.984.122;Madeira-Guapor
1101500;RO;Seringueiras;-630.387.609.977;-117.671.166.356;Leste Rondoniense
1101559;RO;Teixeiropolis;-62.255.922.254;-10.932.169.286;Leste Rondoniense
1101609;RO;Theobroma;-623.451.455.299;-10.248.730.552;Leste Rondoniense
1101708;RO;Urupa;-623.706.324.538;-111.285.452.757;Leste Rondoniense
1101757;RO;Vale do Anari;-621.768.234.421;-98.513.927.081;Leste Rondoniense
1101807;RO;Vale do Paraiso;-621.343.903.568;-104.310.526.846;Leste Rondoniense
1200013;AC;Acrelandia;-6.705.231.658;-100.737.938.925;Vale do Acre
1200054;AC;Assis Brasil;-695.634.591.747;-109.428.656.809;Vale do Acre
1200104;AC;Brasileia;-68.747.943.426;-110.164.110.191;Vale do Acre
1200138;AC;Bujari;-679.518.592.792;-98.200.196.267;Vale do Acre
